PLATINUM_PRICE_price,CRUDE_OIL_PRICE_timestamp,VALOR_CONTRA_YEN_time_difference,CORN_PRICE_time_difference,VALOR_CONTRA_LIBRA_timestamp,CRUDE_OIL_PRICE_open,CORN_PRICE_open,CRUDE_OIL_PRICE_price,CRUDE_OIL_PRICE_change,high,CRUDE_OIL_PRICE_volume,ind,open,CORN_PRICE_high,COCACOLA_PRICE_open,CRUDE_OIL_PRICE_high,PLATINUM_PRICE_low,TIN_PRICE_open,TIN_PRICE_change,PLATINUM_PRICE_change,count_agg,low,PLATINUM_PRICE_volume,VALOR_CONTRA_YEN_nivel,COCACOLA_PRICE_price,change,VALOR_CONTRA_EURO_time_difference,TIN_PRICE_time_difference,CORN_PRICE_low,timestamp,price,VALOR_CONTRA_LIBRA_nivel,TIN_PRICE_low,CORN_PRICE_price,volume,VALOR_CONTRA_LIBRA_time_difference,PLATINUM_PRICE_high,VALOR_CONTRA_YEN_timestamp,TIN_PRICE_timestamp,TIN_PRICE_high,CORN_PRICE_volume,COCACOLA_PRICE_volume,CORN_PRICE_change,COCACOLA_PRICE_high,COCACOLA_PRICE_timestamp,VALOR_CONTRA_EURO_timestamp,CRUDE_OIL_PRICE_low,COCACOLA_PRICE_low,VALOR_CONTRA_EURO_nivel,PLATINUM_PRICE_open,COCACOLA_PRICE_change,CORN_PRICE_timestamp,TIN_PRICE_price,PLATINUM_PRICE_timestamp,TIN_PRICE_volume,PLATINUM_PRICE_time_difference,CRUDE_OIL_PRICE_time_difference,COCACOLA_PRICE_time_difference
642.1,1584550800,7,7,1584550800,26.94,344.0,20.37,-24.42%,20510.295,286.71K,78,20220.92,345.25,44.57,27.22,603.5,14210.0,-4.05%,-4.02%,0,19005.865,-,0.2227,44.85,-5.425,7,7,332.0,1584576000,19536.45,28.4969,13237.5,335.25,873.19,7,680.8,1584550800,1584550800,14585.0,229.88K,35.41M,-2.54%,45.1,1584550800,1584550800,20.06,41.59,26.2335,669.0,-4.94%,1584550800,13630.0,1584550800,-,7,7,7
642.1,1584550800,17,17,1584550800,26.94,344.0,20.37,-24.42%,20489.33,286.71K,77,20188.69,345.25,45.88,27.22,603.5,15270.0,-7.29%,-4.02%,1,18917.46,-,0.2227,47.18,-6.3,17,7,332.0,1584489600,19898.92,28.4969,14192.5,335.25,874.09,17,680.8,1584550800,1584464400,15422.5,229.88K,31.42M,-2.54%,47.5,1584464400,1584550800,20.06,45.37,26.2335,669.0,4.24%,1584550800,14205.0,1584550800,-,17,17,7
666.15,1584378000,41,7,1584550800,33.75,362.5,28.7,-9.55%,21379.35,663.53K,76,20487.05,367.75,45.88,33.75,562.0,15270.0,-7.29%,-12.11%,1,19882.26,-,0.2227,47.18,5.2,41,17,354.0,1584403200,21237.38,28.4969,14192.5,354.75,795.84,41,769.85,1584550800,1584464400,15422.5,170.52K,31.42M,-2.17%,47.5,1584464400,1584550800,28.1,45.37,26.2335,757.85,4.24%,1584378000,14205.0,1584378000,-,7,7,17
666.15,1584291600,65,17,1584550800,32.42,362.5,30.82,-2.87%,21767.34,-,75,20917.53,367.75,45.88,32.48,562.0,15270.0,-7.29%,-12.11%,1,20117.1,-,0.2227,47.18,-12.94,65,41,354.0,1584316800,20186.48,28.4969,14192.5,354.75,739.67,65,769.85,1584550800,1584464400,15422.5,170.52K,31.42M,-2.17%,47.5,1584464400,1584550800,30.15,45.37,26.2335,757.85,4.24%,1584378000,14205.0,1584378000,-,17,7,41
666.15,1584291600,55,41,1584032400,32.42,362.5,30.82,-2.87%,22034.9925,-,74,21234.325,367.75,48.24,32.48,562.0,16737.5,-4.31%,-12.11%,0,20378.1725,-,0.21350000000000002,47.16,-12.2025,55,55,354.0,1584230400,20440.0725,28.2037,15927.5,354.75,772.595,55,769.85,1584032400,1584032400,16737.5,170.52K,31.91M,-2.17%,49.9,1584032400,1584032400,30.15,46.75,24.8953,757.85,-9.67%,1584378000,16050.0,1584378000,-,41,17,55
762.65,1584032400,31,31,1584032400,33.07,377.5,31.5,-4.49%,22302.645,963.50K,73,21551.12,377.5,48.24,33.63,750.45,16737.5,-4.31%,-11.65%,0,20639.245,-,0.21350000000000002,47.16,-11.465,31,31,367.0,1584144000,20693.665,28.2037,15927.5,369.75,805.52,31,868.5,1584032400,1584032400,16737.5,0.34K,31.91M,-2.50%,49.9,1584032400,1584032400,30.02,46.75,24.8953,863.25,-9.67%,1584032400,16050.0,1584032400,-,31,31,31
762.65,1584032400,7,7,1584032400,33.07,377.5,31.5,-4.49%,22570.2975,963.50K,72,21867.915,377.5,48.24,33.63,750.45,16737.5,-4.31%,-11.65%,0,20900.3175,-,0.21350000000000002,47.16,-10.7275,7,7,367.0,1584057600,20947.2575,28.2037,15927.5,369.75,838.445,7,868.5,1584032400,1584032400,16737.5,0.34K,31.91M,-2.50%,49.9,1584032400,1584032400,30.02,46.75,24.8953,863.25,-9.67%,1584032400,16050.0,1584032400,-,7,7,7
863.2,1584032400,7,17,1583946000,33.07,377.5,31.5,-4.49%,22837.95,963.50K,71,22184.71,377.5,48.24,33.63,861.9,16737.5,-4.31%,-1.18%,1,21161.39,-,0.2025,47.16,-9.99,7,17,367.0,1583971200,21200.85,27.4072,15927.5,369.75,871.37,7,886.6,1583946000,1584032400,16737.5,0.34K,31.91M,-2.50%,49.9,1584032400,1583946000,30.02,46.75,24.0354,873.5,-9.67%,1584032400,16050.0,1583946000,-,7,17,17
863.2,1583859600,17,7,1583946000,30.37,379.0,34.36,10.38%,23929.47,1.06M,70,23318.855,381.5,53.11,35.02,861.9,16790.0,0.46%,-1.18%,0,22425.865,-,0.2025,53.66,-2.55,17,7,377.5,1583884800,23109.505,27.4072,16785.0,380.0,763.115,17,886.6,1583946000,1583859600,17045.0,0.61K,27.46M,1.54%,53.77,1583859600,1583946000,30.2,51.21,24.0354,873.5,3.47%,1583859600,16845.0,1583946000,-,17,7,7
872.2,1583773200,7,7,1583773200,32.52,371.38,32.42,-0.31%,25020.99,-,69,24453.0,375.38,51.91,34.87,860.9,16622.5,-0.21%,-3.06%,1,23690.34,-,0.2064,51.86,4.89,7,7,366.88,1583798400,25018.16,27.6584,16442.5,374.62,654.86,7,900.7,1583773200,1583773200,16787.5,-,27.90M,1.14%,53.57,1583773200,1583773200,27.34,51.48,24.1233,899.7,-6.15%,1583773200,16767.5,1583773200,-,7,7,7
