dates,country,confirmed_cases,deaths,recovered
21-03-2020,US,25335.0,304.0,171.0
21-03-2020,China,73602.0,3179.0,64253.0
21-03-2020,India,0.0,0.0,0.0
21-03-2020,Canada,1266.0,19.0,10.0
21-03-2020,Korea,0.0,0.0,0.0
21-03-2020,Italy,0.0,0.0,0.0
21-03-2020,France,14301.0,562.0,12.0
21-03-2020,Germany,22213.0,84.0,233.0
21-03-2020,Spain,0.0,0.0,0.0
21-03-2020,Australia,1068.0,7.0,26.0
20-03-2020,US,19057.0,244.0,147.0
20-03-2020,China,74394.0,3190.0,64487.0
20-03-2020,India,0.0,0.0,0.0
20-03-2020,Canada,903.0,12.0,9.0
20-03-2020,Korea,0.0,0.0,0.0
20-03-2020,Italy,0.0,0.0,0.0
20-03-2020,France,12623.0,450.0,12.0
20-03-2020,Germany,19848.0,67.0,180.0
20-03-2020,Spain,0.0,0.0,0.0
20-03-2020,Australia,660.0,7.0,15.0
19-03-2020,US,13604.0,199.0,108.0
19-03-2020,China,73609.0,3183.0,63069.0
19-03-2020,India,194.0,4.0,15.0
19-03-2020,Canada,777.0,9.0,9.0
19-03-2020,Korea,0.0,0.0,0.0
19-03-2020,Italy,0.0,0.0,0.0
19-03-2020,France,10883.0,243.0,12.0
19-03-2020,Germany,0.0,0.0,0.0
19-03-2020,Spain,0.0,0.0,0.0
19-03-2020,Australia,559.0,6.0,18.0
18-03-2020,US,7447.0,115.0,106.0
18-03-2020,China,71988.0,3169.0,60783.0
18-03-2020,India,0.0,0.0,0.0
18-03-2020,Canada,653.0,8.0,9.0
18-03-2020,Korea,0.0,0.0,0.0
18-03-2020,Italy,0.0,0.0,0.0
18-03-2020,France,9046.0,148.0,12.0
18-03-2020,Germany,12327.0,28.0,105.0
18-03-2020,Spain,0.0,0.0,0.0
18-03-2020,Australia,567.0,6.0,23.0
17-03-2020,US,6287.0,108.0,17.0
17-03-2020,China,73937.0,3166.0,61788.0
17-03-2020,India,0.0,0.0,0.0
17-03-2020,Canada,359.0,1.0,5.0
17-03-2020,Korea,0.0,0.0,0.0
17-03-2020,Italy,0.0,0.0,0.0
17-03-2020,France,7674.0,148.0,12.0
17-03-2020,Germany,0.0,0.0,0.0
17-03-2020,Spain,11748.0,533.0,1028.0
17-03-2020,Australia,413.0,5.0,20.0
16-03-2020,US,4612.0,85.0,17.0
16-03-2020,China,73960.0,3160.0,60957.0
16-03-2020,India,0.0,0.0,0.0
16-03-2020,Canada,411.0,4.0,9.0
16-03-2020,Korea,0.0,0.0,0.0
16-03-2020,Italy,0.0,0.0,0.0
16-03-2020,France,6645.0,148.0,12.0
16-03-2020,Germany,7272.0,17.0,67.0
16-03-2020,Spain,0.0,0.0,0.0
16-03-2020,Australia,376.0,3.0,23.0
15-03-2020,US,2877.0,60.0,10.0
15-03-2020,China,73594.0,3134.0,59745.0
15-03-2020,India,113.0,2.0,13.0
15-03-2020,Canada,244.0,1.0,8.0
15-03-2020,Korea,0.0,0.0,0.0
15-03-2020,Italy,0.0,0.0,0.0
15-03-2020,France,4509.0,91.0,12.0
15-03-2020,Germany,0.0,0.0,0.0
15-03-2020,Spain,0.0,0.0,0.0
15-03-2020,Australia,278.0,2.0,23.0
14-03-2020,US,2672.0,54.0,12.0
14-03-2020,China,76600.0,3161.0,61343.0
14-03-2020,India,0.0,0.0,0.0
14-03-2020,Canada,178.0,1.0,8.0
14-03-2020,Korea,0.0,0.0,0.0
14-03-2020,Italy,0.0,0.0,0.0
14-03-2020,France,4481.0,91.0,12.0
14-03-2020,Germany,4585.0,9.0,46.0
14-03-2020,Spain,0.0,0.0,0.0
14-03-2020,Australia,250.0,3.0,23.0
13-03-2020,US,32.0,0.0,0.0
13-03-2020,China,75133.0,3131.0,58486.0
13-03-2020,India,0.0,0.0,0.0
13-03-2020,Canada,17.0,0.0,0.0
13-03-2020,Korea,0.0,0.0,0.0
13-03-2020,Italy,0.0,0.0,0.0
13-03-2020,France,0.0,0.0,0.0
13-03-2020,Germany,0.0,0.0,0.0
13-03-2020,Spain,0.0,0.0,0.0
13-03-2020,Australia,0.0,0.0,0.0
12-03-2020,US,1554.0,39.0,11.0
12-03-2020,China,77817.0,3135.0,59870.0
12-03-2020,India,0.0,0.0,0.0
12-03-2020,Canada,97.0,1.0,8.0
12-03-2020,Korea,0.0,0.0,0.0
12-03-2020,Italy,0.0,0.0,0.0
12-03-2020,France,0.0,0.0,0.0
12-03-2020,Germany,2078.0,3.0,25.0
12-03-2020,Spain,0.0,0.0,0.0
12-03-2020,Australia,0.0,0.0,0.0
11-03-2020,US,1458.0,38.0,8.0
11-03-2020,China,80921.0,3161.0,61644.0
11-03-2020,India,62.0,1.0,4.0
11-03-2020,Canada,174.0,1.0,8.0
11-03-2020,Korea,0.0,0.0,0.0
11-03-2020,Italy,0.0,0.0,0.0
11-03-2020,France,2287.0,48.0,12.0
11-03-2020,Germany,0.0,0.0,0.0
11-03-2020,Spain,0.0,0.0,0.0
11-03-2020,Australia,200.0,3.0,23.0
10-03-2020,US,959.0,28.0,8.0
10-03-2020,China,0.0,0.0,0.0
10-03-2020,India,0.0,0.0,0.0
10-03-2020,Canada,40.0,0.0,4.0
10-03-2020,Korea,0.0,0.0,0.0
10-03-2020,Italy,0.0,0.0,0.0
10-03-2020,France,0.0,0.0,0.0
10-03-2020,Germany,0.0,0.0,0.0
10-03-2020,Spain,1695.0,35.0,32.0
10-03-2020,Australia,98.0,3.0,19.0
09-03-2020,US,203.0,2.0,0.0
09-03-2020,China,0.0,0.0,0.0
09-03-2020,India,0.0,0.0,0.0
09-03-2020,Canada,76.0,1.0,8.0
09-03-2020,Korea,0.0,0.0,0.0
09-03-2020,Italy,0.0,0.0,0.0
09-03-2020,France,0.0,0.0,0.0
09-03-2020,Germany,1176.0,2.0,18.0
09-03-2020,Spain,0.0,0.0,0.0
09-03-2020,Australia,67.0,4.0,11.0
08-03-2020,US,387.0,20.0,5.0
08-03-2020,China,0.0,0.0,0.0
08-03-2020,India,0.0,0.0,0.0
08-03-2020,Canada,62.0,0.0,7.0
08-03-2020,Korea,0.0,0.0,0.0
08-03-2020,Italy,0.0,0.0,0.0
08-03-2020,France,0.0,0.0,0.0
08-03-2020,Germany,1040.0,0.0,18.0
08-03-2020,Spain,0.0,0.0,0.0
08-03-2020,Australia,55.0,3.0,12.0
07-03-2020,US,311.0,16.0,5.0
07-03-2020,China,0.0,0.0,0.0
07-03-2020,India,0.0,0.0,0.0
